1.jpg,,1,85,81,33
1,180.8,90.5,44.5,104.8,104.6
2,3001,81,1,303
3,,1,85,81,33
4,83,2,6,58,1
D17-printed_0008 2,114.1,136.2,95.48.,115.5,125.9,540,
G25- d15-WA1_0003 2,97.6,72.1,170.9,91.1,193.2
G25- d15-WA2_0001 2,061,8,260,8,,21
G25- d21-WB5-0ug_0018 2,469.8,375.1,517.7,268.8,228.8
G30_0002 2,504,,107,260,107.4,214.3
G30_0004 2,288.9,151.59,102.8,50,438.8
1,180.8,90.5,44.5,104.8,104.6
2,115.9,138.8,256.9,373.3
3,,119.3,202.9,123.7,181.1
4,100,134,148.4,146.8,
D17-printed_0008 2,114.1,136.2,95.4,115.5,125.9.,540,
G25- d15-WA1_0003 2,97.6,72.1,170.9,91.1,193.2
G25- d15-WA2_0001 2,123.6,138.4,260,180.1,,134.1
